source_id,organization,country,website,type,authority_level,industry_coverage,geographic_coverage,available_datasets,api_availability,download_formats,update_frequency,licensing,reliability_tier,expected_research_themes,verification_status
MSR-013,Zambia Meteorological Department (ZMD),Zambia,meteozambia.gov.zm,Government agency,Official,Climate,National/Station,"Rainfall; temperature; forecasts",Unknown,PDF,Daily/seasonal,Official (confirm),1,"Climate; Water; Agriculture",catalog-unverified
MSR-014,Zambia Development Agency (ZDA),Zambia,zda.org.zm,Government agency,Official,Investment,National,"Investment guides; MFEZ; sector profiles",Unknown,PDF,Periodic,Official-open (confirm),1,"Economy; Investment; Provincial",catalog-unverified
MSR-015,PACRA,Zambia,pacra.org.zm,Government agency,Official,Business registry,National,"Company registration statistics",Unknown,PDF,Periodic,Official (confirm),1,"Economy; Business",catalog-unverified
MSR-016,Zambia Revenue Authority (ZRA),Zambia,zra.org.zm,Government agency,Official,Tax/Trade,National,"Trade/customs stats; tax revenue",Unknown,PDF,Annual,Official (confirm),1,"Trade & logistics; Economy",catalog-unverified
MSR-017,Ministry of Local Government & Rural Development,Zambia,mlgrd.gov.zm,Government ministry,Official,Administration,National/District/Ward,"Administrative boundaries; district lists",Unknown,PDF,Periodic,Official (confirm),1,"Provinces & districts",catalog-unverified
MSR-018,Ministry of Agriculture,Zambia,agriculture.gov.zm,Government ministry,Official,Agriculture,National/Province,"Crop forecast survey; input programme",Unknown,PDF,Annual,Official (confirm),1,"Economy-provincial; Agriculture context",catalog-unverified
MSR-019,Ministry of Mines & Minerals Development,Zambia,mmmd.gov.zm,Government ministry,Official,Mining,National/Province,"Mining statistics; licences",Unknown,PDF,Periodic,Official (confirm),1,"Economy-provincial; Mining context",catalog-unverified
MSR-020,Ministry of Health,Zambia,moh.gov.zm,Government ministry,Official,Health,National/District,"Health facilities; HMIS indicators",Unknown,PDF,Annual,Official (confirm),1,"Demographics context; Infrastructure-social",catalog-unverified
MSR-021,Ministry of Education,Zambia,moe.gov.zm,Government ministry,Official,Education,National/District,"Education statistics bulletin",Unknown,PDF,Annual,Official (confirm),1,"Demographics; Digital skills",catalog-unverified
MSR-022,World Bank,USA,data.worldbank.org,Multilateral,Authoritative,Cross-industry,National,"World Development Indicators; Zambia Economic Update; Poverty Assessment",Yes (WB API),"CSV; XLSX; JSON; API",Annual,Open (CC-BY-4.0 confirm),2,"Economy; Financial inclusion; Infrastructure; Poverty",catalog-unverified
MSR-023,International Monetary Fund (IMF),USA,imf.org,Multilateral,Authoritative,Macro,National,"Article IV; WEO; IFS",Yes (IMF API),"CSV; XLSX; API",Periodic,Open (confirm),2,"Economy; Debt; Forecasts",catalog-unverified
MSR-024,UNDP,USA,hdr.undp.org,UN agency,Authoritative,Development,National,"Human Development Index; reports",Yes (HDR API),"CSV; XLSX",Annual,Open (confirm),2,"Demographics; Development; Poverty",catalog-unverified
MSR-025,FAO,Italy,fao.org / faostat.fao.org,UN agency,Authoritative,Agriculture/Food,National,"FAOSTAT; GIEWS; AQUASTAT (water)",Yes (FAOSTAT API),"CSV; API",Annual,Open (CC-BY confirm),2,"Agriculture; Water; Climate; Trade",catalog-unverified
MSR-026,World Food Programme (WFP),Italy,dataviz.vam.wfp.org,UN agency,Authoritative,Food security,National/Subnational,"Food security; market prices",Yes (VAM API),"CSV; API",Frequent,Open (confirm),2,"Agriculture; Prices; Climate risk",catalog-unverified
MSR-027,UNICEF,USA,data.unicef.org,UN agency,Authoritative,Social,National/Subnational,"MICS; child/social indicators",Partial,"CSV; XLSX",Periodic,Open (confirm),2,"Demographics; WASH; Education",catalog-unverified
MSR-028,African Development Bank (AfDB),Cote d'Ivoire,afdb.org,Multilateral,Authoritative,Development/Infra,National,"Country strategy; statistics; infra reports",Partial,"PDF; CSV",Periodic,Open (confirm),2,"Economy; Infrastructure; Energy",catalog-unverified
MSR-029,International Telecommunication Union (ITU),Switzerland,itu.int,UN agency,Authoritative,Telecoms,National,"ICT indicators; connectivity",Partial,"CSV; XLSX",Annual,Open/partly-paid (confirm),2,"Telecoms; Internet; Digital",catalog-unverified
MSR-030,GSMA,UK,gsma.com / mobileconnectivityindex.com,Industry body,Reliable,Telecoms/Mobile money,National/Regional,"Mobile Connectivity Index; Mobile Money metrics",Partial,"PDF; CSV",Annual,Mixed (confirm),3,"Telecoms; Financial inclusion; Digital",catalog-unverified
MSR-031,FSD Zambia / FinScope,Zambia,fsdzambia.org,Development/Research,Reliable,Financial inclusion,National/Province,"FinScope survey; financial inclusion",Unknown,"PDF; XLSX",Periodic (survey years),Open (confirm),2,"Financial inclusion; Digital payments",catalog-unverified
MSR-032,University of Zambia (UNZA),Zambia,unza.zm,University,Academic,Cross-industry,National,"Research theses; papers",Unknown,PDF,Ongoing,Academic (confirm),2,"All themes (context/validation)",catalog-unverified
MSR-033,IAPRI,Zambia,iapri.org.zm,Research institute,Academic,Agriculture,National/Province,"Agricultural policy research",Unknown,PDF,Ongoing,Open (confirm),2,"Agriculture; Provincial economy; Markets",catalog-unverified
MSR-034,World Health Organization (WHO),Switzerland,who.int / data.who.int,UN agency,Authoritative,Health,National,"Global Health Observatory",Yes (GHO API),"CSV; API",Annual,Open (confirm),2,"Demographics context; Health infra",catalog-unverified
MSR-035,OpenStreetMap,Global,openstreetmap.org / geofabrik.de,Open collaborative,Community,Geospatial,National/Local,"Roads; POIs; buildings; boundaries",Yes (Overpass; extracts),"PBF; SHP; GeoJSON",Continuous,ODbL,3,"Infrastructure-transport; GIS; Provinces",catalog-unverified
MSR-036,Humanitarian Data Exchange (HDX),Global,data.humdata.org,Data platform,Reliable,Cross/Geospatial,National/Subnational,"Admin boundaries; population; roads; health sites",Yes (HDX API/CKAN),"CSV; SHP; GeoJSON; XLSX",Varies,Mostly open (confirm per dataset),3,"Provinces/Districts; GIS; Demographics",catalog-unverified
MSR-037,WorldPop,UK,worldpop.org,Academic/Data,Authoritative,Population,National/Gridded,"Gridded population; demographics",Yes (API),"GeoTIFF; CSV",Periodic,CC-BY-4.0,2,"Demographics; GIS; Provincial",catalog-unverified
MSR-038,geoBoundaries,USA,geoboundaries.org,Academic,Reliable,Admin boundaries,National/ADM0-3,"Administrative boundaries ADM0-ADM3",Yes (API),"GeoJSON; SHP",Periodic,Open (CC-BY / ODbL),2,"Provinces & districts; GIS",catalog-unverified
MSR-039,GADM,Global,gadm.org,Academic,Reliable,Admin boundaries,National/ADM0-3,"Administrative boundaries",No (downloads),"SHP; GPKG; GeoJSON",Periodic,Free non-commercial (confirm),2,"Provinces & districts; GIS",catalog-unverified
MSR-040,Copernicus / Sentinel (ESA),EU,dataspace.copernicus.eu,Space agency,Authoritative,Earth observation,Global/National,"Sentinel-1/2 imagery; land cover",Yes (STAC/API),"GeoTIFF; SAFE",Continuous,Open (Copernicus),2,"Climate/Environment; GIS; Land use",catalog-unverified
MSR-041,NASA Earthdata,USA,earthdata.nasa.gov,Space agency,Authoritative,Earth observation,Global/National,"Landsat; MODIS; SRTM DEM",Yes (APIs),"GeoTIFF; HDF; NetCDF",Continuous,Open,2,"Climate; Water; GIS; Elevation",catalog-unverified
MSR-042,CHIRPS (Climate Hazards Center),USA,chc.ucsb.edu/data/chirps,Academic,Authoritative,Rainfall,Global/Gridded,"CHIRPS rainfall time series",Yes (data server),"GeoTIFF; NetCDF",Frequent,Open,2,"Climate; Water; Agriculture",catalog-unverified
MSR-043,NASA POWER,USA,power.larc.nasa.gov,Space agency,Authoritative,Weather/Solar,Global/Point-Grid,"Meteorology & solar time series",Yes (API),"CSV; JSON; NetCDF",Daily,Open,2,"Climate; Energy (solar); Agriculture",catalog-unverified
MSR-044,Copernicus Climate Data Store (ERA5),EU,cds.climate.copernicus.eu,Climate service,Authoritative,Reanalysis climate,Global/Gridded,"ERA5 reanalysis",Yes (CDS API),"NetCDF; GRIB",Continuous,Open (Copernicus licence),2,"Climate; Water",catalog-unverified
