stakeholder_id,name,category,industry,geography,mandate_role,authority_level,services,info_produced,systems,licences_issued_required,regulatory_obligations,workflows,pain_points,digital_maturity,influence,evidence
STK-017,Competition & Consumer Protection Commission,Regulator,Cross,National,Competition; consumer; mergers,High,enforcement,decisions,-,merger notification,CCPA 2010,marketplace,capacity,Medium,Medium,SRC-0103
STK-018,Financial Intelligence Centre (FIC),Regulator,Finance/Cross,National,AML/CFT; STR analysis,High,STR analysis,intelligence,goAML,reporting-entity duties,FIC Act 2010,WF-029/032/037,data sharing,Medium,High,SRC-0104
STK-019,PACRA,Regulator,Cross,National,Company & IP registration,High,registration,registers,PACRA systems,company/IP registration,PACRA Act 2010,business registration,digitising,Medium,Medium,SRC-0105
STK-020,Zambia Revenue Authority (ZRA),Regulator,Cross,National,Tax & customs,Critical,tax/customs,tax/customs data,ASYCUDA/TaxOnline,TPIN; clearing licence,Income Tax/Customs,WF-L09/032/M13,evasion; throughput,High,Critical,SRC-0090;SRC-0106
STK-021,RTSA,Regulator,Logistics,National,Vehicle & driver licensing; safety,High,registration/licensing,vehicle/driver data,-,vehicle/driver licence,Road Traffic Act,WF-L11/L14,enforcement,Medium,High,SRC-0019
STK-022,Office of the Data Protection Commissioner,Regulator,Cross,National,Personal-data protection,High,registration/audit,guidance,-,data-controller registration,DPA 2021,all data,new-body capacity,Medium,High,SRC-0012
STK-023,ZICTA,Regulator,Telecoms/Digital,National,ICT/telecom regulation; .zm; cyber,High,spectrum/licensing,ICT stats,ZICTA systems,operator licences,ICT/cyber Acts,WF-039,-,High,High,SRC-0004;SRC-0036
STK-024,Bank of Zambia (BoZ),Regulator,Finance,National,Central bank; monetary; payment systems,Critical,monetary policy,monetary stats,-,bank/payment licence,BoZ Act,WF-032/037,-,High,Critical,SRC-0002;SRC-0029
STK-025,ZamStats,Government/Regulator,Cross,National,Official statistics; census,High,statistics,census/CFS/PHS,survey systems,-,Statistics Act 2018,WF-025/035,capacity,Medium,High,SRC-0004;SRC-0022
STK-026,Food Reserve Agency (FRA),Regulator/Buyer,Agriculture,National,Strategic grain reserve; maize purchase,High,grain purchase,stock data,depot systems,-,Food Reserve Act,WF-026/029/031,payment; logistics,Low,High,SRC-0052
STK-027,ZAMACE,Market infrastructure,Agriculture,National,Commodity exchange; WRS,Medium,trading/WRS,prices,ZAMACE platform,warehouse certification,Ag Credits Act,WF-026/029,liquidity,Medium,Medium,SRC-0082
STK-028,Smallholder farmers,Agriculture,Agriculture,National (rural),Primary production,Low,production,field activities,phone/USSD,FISP,various agri,WF-002..041,inputs/price/finance,Low,High,SRC-0026;SRC-0045
STK-029,Commercial farmers,Agriculture,Agriculture,National,Large-scale production/export,Medium,production/export,production data,spreadsheets/ERP,phytosanitary,export/compliance,WF-001..041,forex/energy,Medium,Medium,SRC-0057
STK-030,Cooperatives,Agriculture,Agriculture,National,Aggregation; input distribution,Medium,aggregation,membership,registers,cooperative registration,Coop Act,WF-007/031,governance/capital,Low,Medium,SRC-0099
STK-031,Extension officers (CEO/BEO),Agriculture,Agriculture,District/Camp,Farmer advisory,Low,advisory,advice/farmer data,ADEO diary,-,extension policy,WF-013/038,ratio 1:1200,Low,Medium,SRC-0049;SRC-0050
STK-032,Agro-dealers,Agriculture,Agriculture,National,Input retail; FISP redemption,Low,input retail,sales/redemptions,ZIAMIS,agro-dealer accreditation,FISP,WF-007/008,stock/liquidity,Low,Medium,SRC-0046
STK-033,Seed companies (e.g. Afriseed/Zamseed),Agriculture,Agriculture,National,Seed production/supply,Medium,seed supply,product data,ERP,seed producer licence,Seeds Act,WF-007,forex,Medium,Medium,SRC-0094
STK-034,Fertilizer suppliers (NCZ/UCF),Agriculture,Agriculture,National,Fertilizer manufacture/distribution,Medium,fertilizer supply,product data,ERP,fertilizer registration,Fertilisers Act,WF-008,forex/logistics,Medium,Medium,SRC-0093;SRC-0095
STK-035,Veterinary services,Government/Agriculture,Agriculture,National/District,Animal health,Medium,vet services,disease data,-,vet permits,Animal Health Act,WF-009,capacity,Low,Medium,SRC-0100
STK-036,Produce buyers/processors/millers,Agriculture,Agriculture,National,Offtake & processing,Medium,offtake/processing,purchase data,plant systems,-,food safety,WF-029,supply reliability,Medium,Medium,SRC-0052
STK-037,Exporters,Agriculture/Mining,Cross,National,Export aggregation & trade,Medium,export,export data,trade systems,export permits,customs,WF-L09,corridors/forex,Medium,Medium,SRC-0090
STK-038,Warehouse operators,Agriculture/Logistics,Agriculture,National,Storage; warehouse receipts,Medium,storage/WRS,receipts,WRS,warehouse certification,Ag Credits Act,WF-026/L18,certification/financing,Medium,Medium,SRC-0051
STK-039,Large-scale mining companies (FQM/Mopani/KCM/Barrick),Mining,Mining,Copperbelt/NW,Mine operation end-to-end,High,production/export,production/royalty,mining ERP/FMS,mining rights,MRCA/EMA/OHS,WF-M01..M13,energy/forex/tax,High,Critical,SRC-0066
STK-040,Mining contractors,Mining,Mining,National,Contract mining services,Medium,services,-,-,-,MRCA/OHS,WF-M04..M07,payment/local-content,Medium,Medium,SRC-0064
STK-041,Equipment & explosive suppliers,Mining,Mining,National,Supply equipment/consumables,Medium,supply,-,ERP,explosives licence,MRCA/hazmat,WF-M04/L03,forex/lead-time,Medium,Medium,SRC-0066
STK-042,Geologists/surveyors,Mining,Mining,National,Exploration & survey,Medium,survey,geo data,GIS/survey,-,MRCA,WF-M01,data,Medium,Medium,SRC-0064
STK-043,Smelters/processing plants,Mining,Mining,Copperbelt,Concentrate to metal,High,processing,plant data,plant systems,-,EMA/OHS,WF-M08,energy,Medium,High,SRC-0066
STK-044,ZCCM-IH,Mining,Mining,National,State mining investment vehicle,High,equity holding,financials,-,-,company law,WF-M(gov),returns,Medium,High,SRC-0065
STK-045,ASM cooperatives/miners,Mining,Mining,National,Small-scale mining,Low,extraction/trade,-,-,ASM rights,GMDA,WF-M14,safety/finance,Low,Medium,SRC-0066
STK-046,Construction clients (public/private),Construction,Construction,National,Commission & fund projects,High,project origination,briefs,-,-,PPA/planning,WF-C01,funding/delays,Medium,High,SRC-0068
STK-047,Consultants (architects/engineers/QS),Construction,Construction,National,Design; supervision; cost,Medium,design/cost,drawings/BOQ,CAD,professional registration,EIZ/NCC,WF-C02/C11,rework,Medium,Medium,SRC-0068
STK-048,Contractors (NCC-graded),Construction,Construction,National,Execute works,Medium,construction,site records,PM software (rare),NCC registration,NCC/OHS,WF-C05..C13,cash flow/materials,Low,High,SRC-0067
STK-049,Subcontractors/suppliers/equipment-hire,Construction,Construction,National,Specialist works/materials/plant,Low,trades/supply/hire,-,-,NCC (some),standards,WF-C08/C09,payment,Low,Medium,SRC-0067
STK-050,Environmental consultants (ZEMA-registered),Environmental,Environmental,National,ESIA & monitoring,Medium,ESIA/monitoring,EIS/monitoring,field kit,ZEMA registration,EMA/EIA,WF-E02/E10,data access,Medium,Medium,SRC-0069
STK-051,Accredited laboratories,Environmental/Cross,Environmental,National,Sample analysis,Medium,testing,lab results,LIMS(rare),accreditation,EMA/standards,WF-E03/M09/004,capacity,Medium,Medium,SRC-0070
STK-052,Water/wastewater utilities,Environmental,Environmental,Provincial,Water supply/treatment,Medium,water/effluent,utility data,-,utility licence,W&S Act,WF-E07,infrastructure/power,Low,Medium,SRC-0070
STK-053,Waste management/recycling companies,Environmental,Environmental,Urban,Waste collection/treatment,Low,waste services,manifests,-,waste licence,EMA,WF-E09/L23,capacity,Low,Medium,SRC-0069
STK-054,Environmental NGOs/community orgs,Environmental,Environmental,National/Local,Advocacy; community,Low,advocacy,reports,-,-,-,WF-E/community,funding,Low,Medium,SRC-0069
STK-055,Transport/fleet operators,Logistics,Logistics,National,Freight movement,Medium,transport,tracking,GPS,vehicle registration,Road Traffic,WF-L08..L16,fuel/roads/borders,Medium,High,SRC-0093
STK-056,Clearing & forwarding agents (ZAFFA),Logistics,Logistics,Borders,Customs clearance,Medium,clearance,declarations,ASYCUDA,clearing licence (CE34),Customs Act,WF-L09/supply-chain,border congestion,Medium,High,SRC-0092
STK-057,Freight forwarders / couriers,Logistics,Logistics,National,Forwarding/parcel,Medium,forwarding,waybills,-,-,-,WF-L19,-,Medium,Medium,SRC-0093
STK-058,Border agencies (ZRA/Immigration),Regulator/Logistics,Logistics,Borders,Border control,High,border processing,clearance data,ASYCUDA,-,Customs/Immigration,WF-L09,congestion,Medium,High,SRC-0090
STK-059,Fuel suppliers (TAZAMA/INDENI/OMCs),Logistics,Cross,National,Fuel supply/distribution,High,fuel supply,supply data,-,OMC licence (ERB),energy law,WF-L16/M/C,supply/price,Medium,High,SRC-0089
STK-060,Commercial banks,Financial,Cross,National,Banking; credit; payments,High,banking,accounts,core banking,bank licence (BoZ),FIC/BoZ,WF-032/037,collateral/risk,High,High,SRC-0039
STK-061,Development banks (DBZ/AfDB/World Bank),Financial,Cross,National,Development finance,High,dev finance,reports,-,-,-,WF-037,project pipeline,High,High,SRC-0028
STK-062,Mobile money providers (Airtel/MTN/Zamtel),Financial/Technology,Cross,National,Mobile money; payments,High,payments,transaction data,MMO platform,payment licence,BoZ/FIC,WF-007/029/032,interoperability,High,Critical,SRC-0084
STK-063,Insurance companies / PIA,Financial,Cross,National,Insurance; index products,Medium,insurance,policy/claims,policy systems,insurer licence (PIA),FIC,WF-036,basis risk,Medium,Medium,SRC-0040
STK-064,Microfinance / SACCOs,Financial,Cross,National,Micro-credit/savings,Medium,micro-finance,loan data,-,MFI licence,BoZ/FIC,WF-037,capital/risk,Low,Medium,SRC-0039
STK-065,FSD Zambia / development partners,Financial/Dev,Cross,National,Financial-sector deepening,Medium,programs/data,FinScope,-,-,-,WF-032,coordination,Medium,Medium,SRC-0039
STK-066,ERP/software vendors (SAP/Odoo/Sage/local),Technology,Cross,National/Global,Enterprise software,Medium,software,-,-,-,-,cross,localisation,High,Medium,SRC-0079
STK-067,GIS/drone/IoT providers,Technology,Cross,Global/National,Geospatial/sensing tech,Medium,tech services,-,-,-,-,WF-003/E10,cost/skills,High,Medium,SRC-0081
STK-068,Telecom operators (Airtel/MTN/Zamtel),Technology,Cross,National,Connectivity,High,connectivity,coverage data,network,operator licence,ZICTA,WF-039,coverage gaps,High,High,SRC-0036
STK-069,Payment/SMS/fintech providers (Flutterwave/Cellulant),Technology/Financial,Cross,National,Payments/SMS APIs,Medium,payment APIs,transaction data,platform,payment licence,BoZ/FIC,WF-029/032,integration,High,Medium,SRC-0085
STK-070,Cloud providers,Technology,Cross,Global,Cloud hosting,Medium,cloud,-,-,-,data-residency (DPA),-,localisation,High,Medium,SRC-0012
STK-071,Universities (UNZA/CBU),Education/Research,Cross,National,Higher education & research,Medium,education/research,research,-,-,-,WF-004/025,funding,Medium,Medium,SRC-0007
STK-072,Research institutes (IAPRI/ZARI/NISIR),Education/Research,Agriculture/Cross,National,Applied research,Medium,research,findings,-,-,-,WF-004/025,funding,Medium,Medium,SRC-0033
STK-073,Innovation hubs / tech startups (BongoHive; agritech),Technology,Cross,National,Innovation support; startups,Low,incubation,-,-,-,-,WF-039,funding,High,Low,SRC-0073
STK-074,Standards & metrology bodies (ZABS/ZMA),Regulator,Cross,National,Standards & legal metrology,High,standards/metrology,standards,-,certification,Standards Act,WF-031/C11,-,Medium,Medium,SRC-0016
STK-075,Traditional authorities / chiefs,Community,Cross,Local,Customary land & community,Medium,land allocation,-,-,-,Chiefs Act,WF-001,land disputes,Low,Medium,SRC-0005
