req_id,statement,capability,workflows,stakeholders,regulations,technologies,integrations,findings,verification,acceptance_criteria,priority,risk_if_omitted,confidence
REQ-F-032,The system shall store mine plans and design artefacts,CAP-046,WF-M03,STK-047;STK-039,REG-0009,TECH-047,,F-0056,Test,Plan artefacts versioned and retrievable,Must,No mine plan record,64
REQ-F-033,The system shall record production schedules and actuals,CAP-047;CAP-064,WF-M04,STK-039;STK-047,,TECH-029,,F-0056,Test,Schedule vs actual reconciled,Should,No production control,60
REQ-F-034,The system shall capture fleet dispatch and haulage records,CAP-050,WF-M05,STK-039;STK-041,,TECH-101,INT-101,F-0057,Test,Dispatch/haul cycle records stored,Should,Haulage inefficiency,62
REQ-F-035,The system shall ingest equipment telemetry for condition monitoring,CAP-051,WF-M05,STK-039;STK-041,,TECH-104;TECH-084,INT-083,F-0057,Test,Telemetry stored and thresholds alertable,Could,Unplanned downtime,58
REQ-F-036,The system shall manage maintenance work orders (CMMS),CAP-052,WF-M06,STK-039;STK-041,REG-0016,TECH-113,,F-0057,Test,Work order lifecycle tracked,Should,Maintenance backlog,62
REQ-F-037,The system shall maintain an asset register with lifecycle status,CAP-053;CAP-134,WF-M06,STK-039;STK-055,,TECH-130,INT-116,F-0057,Test,Asset records with status/history,Must,No asset control,62
REQ-F-038,The system shall manage spares and consumables inventory,CAP-054,WF-M07,STK-039;STK-041,,TECH-130,INT-116,F-0057,Test,Stock levels and movements tracked,Should,Stockouts,60
REQ-F-039,The system shall onboard and verify contractor compliance status,CAP-056,WF-M08,STK-039;STK-041,REG-0034,TECH-130,,F-0057,Test,Contractor record with compliance flags,Should,Compliance exposure,58
REQ-F-040,The system shall record and manage safety incidents,CAP-057,WF-M09,STK-039;STK-018,REG-0034,TECH-130,,F-0058,Test,Incident logged with severity and actions,Must,Safety/legal risk,64
REQ-F-041,The system shall support safety inspections and audits,CAP-058,WF-M09,STK-039;STK-018,REG-0034,TECH-131,,F-0058,Test,Inspection checklist results stored,Should,Undetected hazards,60
REQ-F-042,The system shall manage permit-to-work issuance,CAP-059,WF-M09,STK-039;STK-041,REG-0034,TECH-113,,F-0058,Test,Permit lifecycle enforced,Should,Unsafe work,56
REQ-F-043,The system shall record environmental monitoring parameters,CAP-060;CAP-091;CAP-092,WF-M10;WF-E10,STK-010;STK-039,REG-0017;REG-0018;REG-0019,TECH-099;TECH-100,INT-035;INT-036,F-0059,Test,Monitoring readings stored with location/time,Must,Non-compliance/pollution,62
REQ-F-044,The system shall manage laboratory samples and results (LIMS),CAP-063;CAP-100,WF-M01;WF-E10,STK-039;STK-036,,TECH-121,,F-0056,Test,Sample lifecycle and results tracked,Should,Untraceable results,58
REQ-F-045,The system shall submit statutory mining production and royalty reports,CAP-065;CAP-066,WF-M11,STK-009;STK-039,REG-0009;REG-0010,TECH-123,INT-030;INT-016,F-0073,Test,Report generated in required format,Must,Statutory breach,62
REQ-F-046,The system shall set up projects with work-breakdown structures,CAP-068,WF-C01,STK-048;STK-050,,TECH-113,,F-0060,Test,Project and WBS created,Must,No project basis,64
REQ-F-047,The system shall prepare bills of quantities and estimates,CAP-069;CAP-070,WF-C03,STK-050;STK-048,REG-0016,TECH-130,,F-0060,Test,BOQ with items/quantities/rates stored,Must,No cost basis,62
REQ-F-048,The system shall manage tenders and bids,CAP-071,WF-C04,STK-048;STK-052,REG-0029,TECH-117,INT-041,F-0060,Test,Tender records and evaluations stored,Should,Procurement weakness,58
REQ-F-049,The system shall produce construction schedules,CAP-072,WF-C05,STK-048;STK-050,,TECH-113,,F-0060,Test,Schedule with dependencies stored,Should,Delivery slippage,60
REQ-F-050,The system shall capture site daily reports and progress,CAP-074;CAP-075,WF-C07,STK-048;STK-050,,TECH-073,INT-076,F-0060,Test,Daily report and progress % recorded,Must,No site visibility,62
REQ-F-051,The system shall record quantity measurements and earthworks volumes,CAP-076,WF-C07,STK-050,,TECH-081,INT-078,F-0060,Test,Measured quantities stored,Should,Measurement disputes,56
REQ-F-052,The system shall produce valuations and interim payment certificates,CAP-077;CAP-078,WF-C12,STK-050;STK-048,,TECH-130,,F-0060,Test,Valuation/IPC generated,Must,Payment disputes,60
REQ-F-053,The system shall control cost and budget against plan,CAP-079,WF-C12,STK-048;STK-050,,TECH-124,,F-0060,Test,Budget vs actual reported,Should,Cost overruns,58
REQ-F-054,The system shall manage plant/equipment on site,CAP-080,WF-C09,STK-048;STK-041,,TECH-101,INT-101,F-0060,Test,Equipment records/usage tracked,Should,Idle plant,56
REQ-F-055,The system shall manage workforce timesheets,CAP-081,WF-C10,STK-048;STK-058,REG-0034,TECH-130,,F-0060,Test,Timesheets captured and approved,Should,Labour cost errors,56
REQ-F-056,The system shall conduct QA/QC inspections and snagging,CAP-082;CAP-083,WF-C11,STK-048;STK-050,REG-0016,TECH-131,,F-0060,Test,Inspection and snag records stored,Should,Quality defects,58
REQ-F-057,The system shall manage HSE incidents and inductions,CAP-085,WF-C13,STK-048;STK-018,REG-0034,TECH-131,,F-0060,Test,Incident/induction records stored,Must,Safety/legal risk,60
REQ-F-058,The system shall control documents drawings and RFIs,CAP-086;CAP-087,WF-C14,STK-048;STK-050,,TECH-117,INT-140,F-0060,Test,Versioned documents/RFIs tracked,Must,Document chaos,60
REQ-F-059,The system shall manage EIA screening and study records,CAP-089;CAP-090,WF-E01;WF-E02,STK-010;STK-047,REG-0017;REG-0018,TECH-047,INT-035,F-0059,Test,EIA/ESMP records maintained,Must,EIA non-compliance,60
REQ-F-060,The system shall track waste manifests and disposal,CAP-094,WF-E12,STK-010;STK-039,REG-0018,TECH-130,,F-0059,Test,Waste manifests recorded,Should,Illegal disposal risk,54
REQ-F-061,The system shall collect and report ESG metrics,CAP-096,WF-E13,STK-039;STK-010,REG-0017,TECH-123,,F-0059,Test,ESG dataset and report produced,Could,ESG gaps,54
REQ-F-062,The system shall compute carbon/GHG inventory from activity data,CAP-097,WF-E13,STK-039;STK-010,,TECH-024,,F-0059,Analysis,GHG inventory computed with factors,Could,No carbon baseline,50
REQ-F-063,The system shall generate environmental compliance reports and track permits,CAP-098;CAP-099,WF-E14,STK-010;STK-039,REG-0017;REG-0018;REG-0019,TECH-123,INT-035;INT-036,F-0073,Test,Compliance report and permit status produced,Must,Regulatory breach,58
REQ-F-064,The system shall record community grievances and engagement,CAP-101,WF-E02,STK-071;STK-010,REG-0017,TECH-130,,F-0059,Test,Grievance case lifecycle tracked,Could,Social risk,50
REQ-F-065,The system shall create and manage transport orders,CAP-102,WF-L01;WF-L08,STK-055;STK-030,,TECH-130,,F-0067,Test,Transport order lifecycle tracked,Must,No transport control,62
REQ-F-066,The system shall plan loads and trips,CAP-103,WF-L08,STK-055,,TECH-029,,F-0068,Test,Load/trip plan generated,Should,Underutilised capacity,58
REQ-F-067,The system shall dispatch vehicles and loads,CAP-104,WF-L11,STK-055;STK-041,,TECH-101,INT-101,F-0068,Test,Dispatch assignment recorded,Should,Dispatch delays,58
REQ-F-068,The system shall optimise delivery routes,CAP-105,WF-L12,STK-055,,TECH-058;TECH-029,INT-058,F-0068,Analysis,Optimised route produced,Could,Higher transport cost,56
REQ-F-069,The system shall manage fleet vehicles and telematics,CAP-106;CAP-107,WF-L11;WF-L12,STK-055,REG-0022,TECH-101;TECH-088,INT-101,F-0068,Test,Vehicle and telematics records maintained,Must,No fleet visibility,62
REQ-F-070,The system shall capture proof of delivery,CAP-110,WF-L08,STK-055;STK-030,,TECH-131,INT-102,F-0068,Test,POD captured with signature/timestamp,Should,Delivery disputes,58
REQ-F-071,The system shall receive putaway and control warehouse inventory,CAP-112;CAP-113,WF-L17;WF-L18,STK-055;STK-030,,TECH-130;TECH-102,INT-119,F-0067,Test,Inventory transactions tracked,Must,Stock inaccuracy,62
REQ-F-072,The system shall manage picking packing and shipping,CAP-114,WF-L19,STK-055,,TECH-102,,F-0067,Test,Pick/pack/ship steps recorded,Should,Fulfilment errors,56
REQ-F-073,The system shall monitor cold-chain temperature conditions,CAP-115,WF-L20,STK-055;STK-036,REG-0016,TECH-103;TECH-088,INT-085,F-0068,Test,Temperature series stored with excursions flagged,Could,Spoilage,54
REQ-F-074,The system shall prepare cross-border and customs documentation,CAP-116,WF-L21,STK-055;STK-020,REG-0030,TECH-130,INT-017,F-0069,Test,Customs documents generated,Should,Border delays,56
REQ-F-075,The system shall provide shipment transit tracking and visibility,CAP-117,WF-L12,STK-055;STK-030,,TECH-101,INT-101,F-0069,Test,Transit status visible end-to-end,Should,Poor visibility,56
REQ-F-076,The system shall maintain a general ledger and chart of accounts,CAP-121,WF-006;WF-032,STK-029;STK-060,REG-0027;REG-0028,TECH-130,INT-019,F-0079,Test,GL postings balanced and reportable,Must,No financial control,68
REQ-F-077,The system shall manage accounts payable and receivable,CAP-122;CAP-123,WF-032,STK-042;STK-030,REG-0027,TECH-130,INT-020,F-0079,Test,AP/AR ledgers with ageing,Must,Cashflow errors,64
REQ-F-078,The system shall process payments and disbursements,CAP-124,WF-032,STK-060;STK-062,REG-0031,TECH-150,INT-003;INT-006,F-0054,Test,Payment executed and reconciled,Must,No payment capability,66
REQ-F-079,The system shall integrate mobile money for collections and payouts,CAP-125,WF-032;WF-037,STK-062;STK-028,REG-0031,TECH-150,INT-003;INT-004,F-0086,Test,Mobile-money transaction confirmed via callback,Must,Excludes majority users,68
REQ-F-080,The system shall compute and report statutory taxes,CAP-128,WF-035,STK-002;STK-029,REG-0026;REG-0028,TECH-130,INT-016,F-0073,Test,Tax computed and return generated,Must,Tax non-compliance,62
REQ-F-081,The system shall process payroll with statutory deductions,CAP-129,WF-034,STK-058;STK-029,REG-0027;REG-0035,TECH-130,INT-018;INT-023,F-0079,Test,Payroll run with PAYE/NAPSA deductions,Must,Payroll non-compliance,62
REQ-F-082,The system shall manage procurement and purchase orders,CAP-131;CAP-132,WF-032,STK-042,REG-0029,TECH-113,INT-041,F-0079,Test,PO lifecycle and vendor records tracked,Must,Uncontrolled spend,62
REQ-F-083,The system shall manage contracts and obligations,CAP-133,WF-032,STK-042;STK-050,REG-0029,TECH-117,,F-0079,Test,Contract records with milestones/obligations,Should,Contractual risk,56
REQ-F-084,The system shall provide CRM contact and pipeline management,CAP-135;CAP-136,WF-029,STK-030,,TECH-130,INT-124,F-0079,Test,Contacts and opportunities tracked,Should,Weak customer mgmt,58
REQ-F-085,The system shall maintain HR employee records,CAP-138,WF-034,STK-058;STK-029,REG-0035,TECH-130,,F-0079,Test,Employee records with lifecycle,Should,HR gaps,58
REQ-F-086,The system shall manage leave and attendance,CAP-140,WF-034,STK-058,REG-0035,TECH-130,,F-0079,Test,Leave/attendance recorded and approved,Should,Labour disputes,56
REQ-F-087,The system shall provide document management and retention,CAP-143;CAP-144,WF-033,STK-029;STK-048,REG-0024,TECH-117,,F-0079,Test,Documents stored with retention rules,Must,Records loss,60
REQ-F-088,The system shall support electronic signatures on documents,CAP-145,WF-032,STK-029;STK-048,REG-0025,TECH-141,,F-0077,Test,E-signature applied and verifiable,Should,Manual bottlenecks,54
REQ-F-089,The system shall provide BI dashboards and analytics,CAP-146,WF-035,STK-029;STK-039,,TECH-123;TECH-124,,F-0079,Test,Dashboards render KPIs from data,Should,No insight,60
REQ-F-090,The system shall provide configurable report generation and distribution,CAP-147,WF-035,STK-029;STK-001,REG-0028,TECH-123,,F-0079,Test,Report generated and distributed,Must,No reporting,60
REQ-F-091,The system shall support data import export and integration,CAP-148;CAP-163,WF-033;WF-035,STK-070,,TECH-115,INT-126;INT-134,F-0086,Test,Import/export in standard formats succeeds,Must,Data silos,60
REQ-F-092,The system shall send multichannel notifications (SMS email push USSD),CAP-149,WF-038,STK-028;STK-030,,TECH-150,INT-091;INT-102,F-0086,Test,Notification delivered with delivery report,Must,No engagement channel,66
REQ-F-093,The system shall support workflow automation and approvals,CAP-150;CAP-152,WF-032,STK-029,REG-0029,TECH-113;TECH-116,,F-0079,Test,Configured workflow routes and approves,Should,Manual processes,60
REQ-F-094,The system shall maintain an immutable audit trail of actions,CAP-153,WF-035,STK-022;STK-029,REG-0024,TECH-143,INT-133,F-0077,Test,All key actions logged with actor/time,Must,No accountability,64
REQ-F-095,The system shall maintain a compliance and obligation register,CAP-154,WF-035,STK-022;STK-029,REG-0024;REG-0034,TECH-130,,F-0073,Test,Obligations tracked with status,Should,Compliance blind spots,56
REQ-F-096,The system shall authenticate users and entities,CAP-156,WF-033,STK-023;STK-029,REG-0024,TECH-136,INT-105;INT-108,F-0077,Test,Authentication enforced via OIDC,Must,Security breach,66
REQ-F-097,The system shall enforce role-based access control,CAP-157,WF-033,STK-029,REG-0024,TECH-139,INT-108,F-0077,Test,Access decisions enforce roles,Must,Unauthorised access,64
REQ-F-098,The system shall support multi-factor authentication,CAP-158,WF-033,STK-029,REG-0024,TECH-138,INT-113,F-0077,Test,MFA challenge enforced for privileged access,Must,Account compromise,62
REQ-F-099,The system shall manage users organisations and tenants,CAP-159,WF-033,STK-029,,TECH-136,INT-115,F-0077,Test,User/org/tenant CRUD with isolation,Must,No admin control,60
REQ-F-100,The system shall capture data offline in the field,CAP-160,WF-033,STK-028;STK-048,,TECH-131;TECH-127,,F-0078,Test,Data entered offline persists locally,Must,Rural exclusion,66
REQ-F-101,The system shall synchronise offline data when connectivity resumes,CAP-161,WF-033,STK-070,,TECH-127;TECH-129,INT-133,F-0078,Test,Offline data syncs with conflict handling,Must,Data loss/conflicts,62
REQ-F-102,The system shall provide geospatial mapping and visualisation,CAP-162,WF-003;WF-M03,STK-039;STK-047,,TECH-047;TECH-052,INT-057;INT-058,F-0075,Test,Map renders layers with basic query,Should,No spatial view,60
REQ-F-103,The system shall provide search across records,CAP-164,WF-035,STK-029,,TECH-121,,F-0079,Test,Search returns relevant records,Should,Poor findability,54
REQ-F-104,The system shall monitor KPIs and raise alerts on thresholds,CAP-166,WF-035,STK-029;STK-039,,TECH-123,INT-149,F-0079,Test,Alert fired when threshold breached,Should,Missed exceptions,54
REQ-F-105,The system shall manage consent and data-subject rights,CAP-170,WF-033,STK-022;STK-028,REG-0024,TECH-140,INT-105,F-0077,Test,Consent recorded and honoured,Must,Privacy breach,58
REQ-F-106,The system shall support local languages in messaging and content,CAP-169,WF-038,STK-028,,TECH-021;TECH-023,INT-092,F-0078,Test,Content delivered in configured language,Should,Low usability,54
