dom_id,name,class,purpose,stakeholders,capabilities,workflows,regulations,requirements,external_systems,kpis,risks,constraints,related_domains,evidence
DOM-CRM,Customer & Stakeholder Relationship,Supporting,Manage relationships with customers and stakeholders,STK-030;STK-028,CAP-135;CAP-136;CAP-137,WF-029;WF-039,,REQ-F-084,INT-124,Customer retention;response time,Weak relationship data,Fragmented contacts,DOM-NOTIF;DOM-TRADE,F-0079
DOM-CMP,Compliance & Regulatory Reporting,Supporting,Ensure and evidence regulatory compliance and reporting,STK-022;STK-010;STK-009,CAP-065;CAP-098;CAP-099;CAP-128;CAP-154;CAP-155,WF-035;WF-M11;WF-E14,REG-0009;REG-0017;REG-0024,REQ-F-045;REQ-F-063;REQ-F-080;REQ-F-095,INT-030;INT-035;INT-016,Compliance rate;on-time submissions,Penalties;breaches,Reporting formats/timelines,DOM-ENV;DOM-MINE;DOM-FIN;DOM-AUDIT,F-0073;F-0077
DOM-DOC,Document Management,Supporting,Capture store and control documents and records,STK-029;STK-048,CAP-058;CAP-086;CAP-143;CAP-144;CAP-145,WF-033;WF-C14,REG-0024;REG-0025,REQ-F-058;REQ-F-087;REQ-F-088,,Retrieval time;retention compliance,Records loss,Retention rules,DOM-CMP;DOM-FILE;DOM-AUDIT,F-0079
DOM-ANALYTICS,Analytics & Reporting,Supporting,Turn data into dashboards reports and insight,STK-029;STK-039;STK-001,CAP-146;CAP-147;CAP-148;CAP-163;CAP-164;CAP-166,WF-035,REG-0028,REQ-F-089;REQ-F-090;REQ-F-091;REQ-F-103;REQ-F-104,INT-149,Report timeliness;adoption,No insight;data silos,Data quality,DOM-CFG;DOM-MON;DOM-GEO,F-0079
DOM-NOTIF,Notifications & Engagement,Supporting,Reach users via multichannel messaging incl. USSD/SMS,STK-028;STK-030,CAP-015;CAP-019;CAP-149;CAP-169,WF-038,,REQ-F-092;REQ-F-106,INT-091;INT-092;INT-102,Delivery rate;engagement,Low reach,Feature-phone constraints,DOM-CRM;DOM-EXT;DOM-MSG,F-0086;F-0078
DOM-EXT,Extension & Advisory,Supporting,Deliver agronomic and technical advisory knowledge,STK-034;STK-028,CAP-023;CAP-024;CAP-040;CAP-168,WF-038;WF-039,,REQ-F-017;REQ-F-018;REQ-F-027,INT-047;INT-091,Advisory reach;adoption,Low advisory coverage,Language;literacy,DOM-AGRI;DOM-NOTIF;DOM-ANALYTICS,F-0055;F-0076
DOM-GEO,Geospatial & Earth Observation,Supporting,Provide spatial mapping remote sensing and geoanalytics,STK-039;STK-047;STK-028,CAP-002;CAP-013;CAP-045;CAP-046;CAP-162,WF-003;WF-M03;WF-E11,,REQ-F-002;REQ-F-011;REQ-F-031;REQ-F-102,INT-057;INT-066,Spatial coverage;accuracy,Data/skills gaps,Imagery licensing,DOM-AGRI;DOM-MINE;DOM-ENV;DOM-LOG,F-0075
DOM-IAM,Identity & Access,Generic,Authenticate and authorise users and entities,STK-023;STK-029,CAP-156;CAP-157;CAP-158;CAP-159,WF-033,REG-0024,REQ-F-096..099;REQ-N-008;REQ-N-010;REQ-N-011,INT-105;INT-108;INT-115,Auth success;incidents,Breach;unauthorised access,DPA;national ID interop,DOM-AUDIT;DOM-CFG;ALL,F-0077
DOM-AUDIT,Audit & Traceability,Generic,Record immutable audit trails of actions,STK-022;STK-029,CAP-153,WF-035,REG-0024,REQ-F-094;REQ-N-019;REQ-N-028,INT-133,Coverage;tamper-evidence,No accountability,Retention,DOM-IAM;DOM-CMP;ALL,F-0077
DOM-CFG,Configuration & Reference Data,Generic,Manage configuration and reference/master data,STK-070;STK-029,CAP-163,WF-033,,REQ-N-021;REQ-N-027,,Config change safety,Data drift,Governance,DOM-ANALYTICS;ALL,F-0079
DOM-MON,Monitoring & Observability,Generic,Observe system health usage and thresholds,STK-070;STK-029,CAP-166,WF-035,,REQ-N-018;REQ-N-005,INT-149,Uptime;MTTR,Blind spots,Tooling capacity,DOM-ANALYTICS;ALL,F-0079
DOM-FILE,File & Content Storage,Generic,Store and serve files and media,STK-029;STK-048,CAP-143,WF-033,REG-0024,REQ-F-087;REQ-N-017,,Availability;integrity,Data loss,Storage cost,DOM-DOC;ALL,F-0079
DOM-MSG,Messaging & Integration,Generic,Exchange messages and integrate with external systems,STK-070,CAP-125;CAP-148;CAP-149,WF-032;WF-038,,REQ-F-091;REQ-N-024;REQ-N-025,INT-091;INT-126;INT-134,Delivery reliability;integration uptime,Integration failure,Portal-first gov APIs,DOM-FIN;DOM-NOTIF;ALL,F-0086;F-0087
DOM-SCHED,Scheduling,Generic,Schedule tasks resources and events,STK-029;STK-055,CAP-009;CAP-072;CAP-104;CAP-165,WF-C05;WF-L12,,REQ-F-049;REQ-F-067;REQ-N-030,,Schedule adherence,Resource clashes,Time-zone/locale,DOM-LOG;DOM-CONS;ALL,F-0068;F-0060
