integ_id,name,domain,owner_org,purpose,api_available,protocol_style,auth_method,licensing,geographic_availability,zambia_applicability,doc_url,evidence,confidence
INT-092,Africa's Talking USSD,Communication,Africa's Talking,USSD session apps (feature phones),Yes,REST/callback,API key,Commercial,Africa,High,https://developers.africastalking.com/,SRC-0120,74
INT-093,Africa's Talking Voice/IVR,Communication,Africa's Talking,Voice call/IVR,Yes,REST/callback,API key,Commercial,Africa,High,https://developers.africastalking.com/,SRC-0120,72
INT-094,Africa's Talking Airtime,Communication,Africa's Talking,Airtime distribution,Yes,REST,API key,Commercial,Africa,Medium,https://developers.africastalking.com/,SRC-0120,68
INT-095,Twilio,Communication,Twilio,SMS/Voice/WhatsApp/verify,Yes,REST,API key/SID token,Commercial,Global,Medium,https://www.twilio.com/docs,SRC-0120,66
INT-096,Infobip,Communication,Infobip,Omnichannel messaging,Yes,REST,API key,Commercial,Global,Medium,https://www.infobip.com/docs,SRC-0120,62
INT-097,MessageBird (Bird),Communication,Bird,Omnichannel messaging,Yes,REST,API key,Commercial,Global,Low-Medium,https://docs.bird.com/,SRC-0120,56
INT-098,Vonage,Communication,Vonage,SMS/Voice/verify,Yes,REST,API key/secret,Commercial,Global,Low,https://developer.vonage.com/,SRC-0120,54
INT-099,Clickatell / BulkSMS,Communication,Clickatell (SA),SMS (Southern Africa strong),Yes,REST,API key,Commercial,Africa/Global,Medium,https://www.clickatell.com/,SRC-0120,58
INT-100,WhatsApp Business Cloud API,Communication,Meta,Business messaging,Yes,REST (Graph),Token,Commercial,Global,Medium,https://developers.facebook.com/docs/whatsapp,SRC-0120,64
INT-101,Telegram Bot API,Communication,Telegram,Bot messaging,Yes,REST,Bot token,Free,Global,Medium,https://core.telegram.org/bots/api,SRC-0120,58
INT-102,Firebase Cloud Messaging,Communication,Google,Push notifications,Yes,REST/SDK,Server key/OAuth2,Free,Global,High,https://firebase.google.com/docs/cloud-messaging,SRC-0120,64
INT-103,SendGrid / Mailgun / Amazon SES,Communication,Twilio/Sinch/Amazon,Transactional email,Yes,REST/SMTP,API key,Commercial,Global,Medium,https://docs.sendgrid.com/,SRC-0120,60
INT-104,MNO USSD shortcodes (MTN/Airtel/Zamtel),Communication,MNOs (Zambia),Direct USSD/shortcode provisioning,Restricted,USSD/callback,MNO agreement,Regulated,Zambia,High,https://www.zicta.zm/,SRC-0084,60
INT-105,OAuth 2.0,Identity,IETF,Authorization framework,Spec,OAuth2,Tokens,Open standard,Global,High,https://oauth.net/2/,SRC-0112,76
INT-106,OpenID Connect,Identity,OpenID Foundation,Authentication layer on OAuth2,Spec,OIDC,ID tokens,Open standard,Global,High,https://openid.net/connect/,SRC-0112,76
INT-107,SAML 2.0,Identity,OASIS,Federated SSO (enterprise),Spec,SAML/XML,Assertions,Open standard,Global,Medium,https://www.oasis-open.org/,SRC-0112,68
INT-108,Keycloak,Identity,Keycloak,IAM (OIDC/SAML) self-host,Yes,REST/OIDC/SAML,Tokens,OSS,Global,High,https://www.keycloak.org/,SRC-0112,74
INT-109,Microsoft Entra ID,Identity,Microsoft,Enterprise identity/SSO,Yes,REST (Graph)/OIDC,OAuth2,Commercial,Global,Medium,https://learn.microsoft.com/entra/,SRC-0112,66
INT-110,Google Identity,Identity,Google,Sign-in/OAuth,Yes,OIDC/OAuth2,Tokens,Free/Commercial,Global,Medium,https://developers.google.com/identity,SRC-0112,66
INT-111,Auth0 / Okta,Identity,Okta,Identity-as-a-service,Yes,OIDC/OAuth2/SAML,Tokens,Commercial,Global,Low-Medium,https://auth0.com/docs,SRC-0112,60
INT-112,Ory,Identity,Ory,OSS identity/OAuth2,Yes,REST/OIDC,Tokens,OSS,Global,Medium,https://www.ory.sh/docs,SRC-0112,58
INT-113,FIDO2 / WebAuthn,Identity,FIDO Alliance/W3C,Passwordless/MFA,Spec,WebAuthn,Public-key,Open standard,Global,Medium,https://fidoalliance.org/,SRC-0112,62
INT-114,MOSIP,Identity,MOSIP,Foundational digital ID platform,Yes,REST,Tokens,OSS,Global,Low,https://mosip.io/,SRC-0084,52
INT-115,ZamPass (national),Identity,Smart Zambia Institute,National e-gov identity/SSO,Portal,OIDC-like,ZamPass,Government,Zambia,High,https://zamportal.gov.zm/,SRC-0118,72
INT-116,SAP APIs (OData/BAPI/RFC),ERP,SAP,ERP integration,Yes,OData/REST/RFC,OAuth2/basic,Commercial,Global,Low-Medium,https://api.sap.com/,SRC-0079,62
INT-117,Oracle Fusion REST,ERP,Oracle,ERP integration,Yes,REST,OAuth2/basic,Commercial,Global,Low,https://docs.oracle.com/,SRC-0079,58
INT-118,Microsoft Dynamics 365 / Dataverse,ERP,Microsoft,ERP/CRM integration,Yes,OData/REST,OAuth2,Commercial,Global,Medium,https://learn.microsoft.com/dynamics365/,SRC-0079,60
INT-119,Odoo External API,ERP,Odoo,ERP integration,Yes,XML-RPC/JSON-RPC,API key/session,OSS+Commercial,Global,High,https://www.odoo.com/documentation/,SRC-0079,68
INT-120,ERPNext / Frappe API,ERP,Frappe,ERP integration,Yes,REST,API key/token,OSS,Global,High,https://frappeframework.com/docs/,SRC-0079,66
INT-121,Sage X3 / 300 API,ERP,Sage,ERP integration,Yes,REST/SOAP,OAuth2/basic,Commercial,Global/SADC,Medium,https://developer.sage.com/,SRC-0079,58
INT-122,SYSPRO e.net,ERP,SYSPRO,ERP integration,Yes,REST/SOAP,API key,Commercial,Global/SA,Medium,https://www.syspro.com/,SRC-0079,54
INT-123,NetSuite SuiteTalk,ERP,Oracle,ERP integration,Yes,REST/SOAP,OAuth2/TBA,Commercial,Global,Low,https://docs.oracle.com/netsuite/,SRC-0079,54
INT-124,Salesforce APIs,ERP,Salesforce,CRM integration,Yes,REST/Bulk/SOAP,OAuth2,Commercial,Global,Low-Medium,https://developer.salesforce.com/,SRC-0079,58
INT-125,Zoho APIs,ERP,Zoho,CRM/ERP integration,Yes,REST,OAuth2,Commercial,Global,Medium,https://www.zoho.com/developer/,SRC-0079,56
INT-126,REST,Standards,IETF/community,Resource-oriented web APIs,Spec,HTTP/REST,varies,Open,Global,High,https://www.rfc-editor.org/,SRC-0079,78
INT-127,GraphQL,Standards,GraphQL Foundation,Query-based API,Spec,GraphQL/HTTP,varies,Open,Global,Medium,https://graphql.org/,SRC-0079,66
INT-128,SOAP,Standards,W3C,XML web services (legacy/enterprise),Spec,SOAP/XML,WS-Security,Open,Global,Medium,https://www.w3.org/TR/soap/,SRC-0079,60
INT-129,gRPC,Standards,CNCF,High-performance RPC,Spec,gRPC/HTTP2,mTLS/token,Open,Global,Medium,https://grpc.io/,SRC-0079,60
INT-130,AMQP,Standards,OASIS,Message queuing,Spec,AMQP,SASL/TLS,Open,Global,Medium,https://www.amqp.org/,SRC-0086,58
INT-131,Apache Kafka protocol,Standards,Apache,Event streaming,Spec,Kafka/TCP,SASL/TLS,OSS,Global,Medium,https://kafka.apache.org/,SRC-0086,62
INT-132,WebSocket,Standards,IETF,Full-duplex realtime,Spec,WS,token,Open,Global,High,https://www.rfc-editor.org/rfc/rfc6455,SRC-0079,64
INT-133,Webhooks,Standards,community,Event callbacks,Pattern,HTTP,signature/secret,Open,Global,High,https://www.rfc-editor.org/,SRC-0120,66
INT-134,CSV,Standards,IETF (RFC4180),Tabular data exchange,Format,file,none,Open,Global,High,https://www.rfc-editor.org/rfc/rfc4180,SRC-0079,74
INT-135,XML,Standards,W3C,Structured data exchange,Format,file,none,Open,Global,High,https://www.w3.org/XML/,SRC-0079,72
INT-136,JSON,Standards,ECMA/IETF,Structured data exchange,Format,file,none,Open,Global,High,https://www.json.org/,SRC-0079,78
INT-137,GeoJSON,Standards,IETF (RFC7946),Geospatial vector exchange,Format,file,none,Open,Global,High,https://geojson.org/,SRC-0081,72
INT-138,GPX,Standards,Topografix,GPS track/waypoint exchange,Format,file,none,Open,Global,High,https://www.topografix.com/gpx.asp,SRC-0081,66
INT-139,KML/KMZ,Standards,OGC,Geospatial visualisation exchange,Format,file,none,Open,Global,High,https://www.ogc.org/standard/kml/,SRC-0081,66
INT-140,IFC,Standards,buildingSMART,BIM data exchange,Format,file,none,Open (ISO 16739),Global,Medium,https://www.buildingsmart.org/,SRC-0115,64
INT-141,OGC WMS/WFS/WCS/WMTS,Standards,OGC,Geospatial web services,Spec,HTTP/OGC,varies,Open,Global,High,https://www.ogc.org/,SRC-0081,70
INT-142,STAC,Standards,STAC community,SpatioTemporal Asset Catalog (EO),Spec,REST/JSON,none,Open,Global,High,https://stacspec.org/,SRC-0081,64
INT-143,ISO 19115,Standards,ISO,Geographic metadata,Spec,metadata,none,Open standard,Global,Medium,https://www.iso.org/standard/53798.html,SRC-0081,58
INT-144,ISO 8601,Standards,ISO,Date/time representation,Spec,format,none,Open standard,Global,High,https://www.iso.org/iso-8601-date-and-time-format.html,SRC-0079,72
INT-145,ISO 20022,Standards,ISO,Financial messaging,Spec,XML/JSON,varies,Open standard,Global,Medium,https://www.iso20022.org/,SRC-0084,60
INT-146,EDIFACT,Standards,UN,EDI trade documents,Spec,EDI,varies,Open standard,Global,Low-Medium,https://unece.org/trade/uncefact,SRC-0086,52
INT-147,EPCIS / GS1,Standards,GS1,Supply-chain traceability/identifiers,Spec,REST/XML,varies,Open standard,Global,Medium,https://www.gs1.org/standards/epcis,SRC-0086,56
INT-148,OpenAPI / Swagger,Standards,OpenAPI Initiative,API description,Spec,YAML/JSON,none,Open,Global,High,https://www.openapis.org/,SRC-0079,68
INT-149,OAuth2 Token/JWT (RFC7519),Standards,IETF,Token format,Spec,JWT,signature,Open,Global,High,https://www.rfc-editor.org/rfc/rfc7519,SRC-0112,68
INT-150,SFTP / AS2 file transfer,Standards,IETF,Secure file exchange (B2B),Spec,SFTP/AS2,keys/certs,Open,Global,Medium,https://www.rfc-editor.org/,SRC-0086,56
